"Fonte","Atividade","Valor"
"","Tabela 10287 (IBGE/SIDRA) — PNAD Contínua 2022",""
"Brasil","Total","2850.64"
"Brasil","1 Agricultura, pecuária, produção florestal, pesca e aquicultura","1846.32"
"Brasil","1.01 Agricultura, pecuária, caça e serviços relacionados","1902.37"
"Brasil","1.01.01101 Cultivo de arroz","2210.82"
"Brasil","1.01.01102 Cultivo de milho","1016.43"
"Brasil","1.01.01103 Cultivo de outros cereais","2650.84"
"Brasil","1.01.01104 Cultivo de algodão","2130.86"
"Brasil","1.01.01105 Cultivo de cana-de-açúcar","1866.00"
"Brasil","1.01.01106 Cultivo de fumo","2285.84"
"Brasil","1.01.01107 Cultivo de soja","3869.18"
"Brasil","1.01.01108 Cultivo de mandioca","753.83"
"Brasil","1.01.01109 Cultivo de outras lavouras temporárias não especificadas anteriormente","1031.73"
"Brasil","1.01.01110 Horticultura","1393.05"
"Brasil","1.01.01111 Cultivo de flores e plantas ornamentais","1940.28"
"Brasil","1.01.01112 Cultivo de frutas cítricas","1641.88"
"Brasil","1.01.01113 Cultivo de café","1686.16"
"Brasil","1.01.01114 Cultivo de cacau","1043.94"
"Brasil","1.01.01115 Cultivo de uva","1780.16"
"Brasil","1.01.01116 Cultivo de banana","1426.74"
"Brasil","1.01.01117 Cultivo de outras plantas e frutas de lavoura permanente não especiificadas anteriormente","1315.69"
"Brasil","1.01.01118 Produção de sementes e mudas certificadas","2571.07"
"Brasil","1.01.01119 Lavoura não especificada","1691.92"
"Brasil","1.01.01201 Criação de bovinos","2973.54"
"Brasil","1.01.01202 Criação de outros animais de grande porte não especificados anteriormente","1822.30"
"Brasil","1.01.01203 Criação de caprinos e ovinos","1361.48"
"Brasil","1.01.01204 Criação de suinos","3355.42"
"Brasil","1.01.01205 Criação de aves","2280.89"
"Brasil","1.01.01206 Apicultura","2049.31"
"Brasil","1.01.01207 Sericicultura","1857.66"
"Brasil","1.01.01208 Criação de outros animais não especificados anteriormente","2402.17"
"Brasil","1.01.01209 Pecuária não especificada","3193.98"
"Brasil","1.01.01401 Atividades de apoio à agricultura e pós-colheita","1365.21"
"Brasil","1.01.01402 Atividades de apoio à pecuária","1898.58"
"Brasil","1.01.01500 Caça e serviços relacionados","1528.95"
"Brasil","1.01.01999 Agropecuária","2693.72"
"Brasil","1.02 Produção florestal","1664.61"
"Brasil","1.02.02000 Produção florestal","1664.61"
"Brasil","1.03 Pesca e aquicultura","986.41"
"Brasil","1.03.03001 Pesca","908.58"
"Brasil","1.03.03002 Aquicultura","2297.08"
"Brasil","2 Indústrias extrativas","4585.85"
"Brasil","2.05 Extração de carvão mineral","2632.36"
"Brasil","2.05.05000 Extração de carvão mineral","2632.36"
"Brasil","2.06 Extração de petróleo e gás natural","8203.85"
"Brasil","2.06.06000 Extração de petróleo e gás natural","8203.85"
"Brasil","2.07 Extração de minerais metálicos","2855.49"
"Brasil","2.07.07001 Extração de minérios de metais preciosos","2410.88"
"Brasil","2.07.07002 Extração de minerais metálicos não especificados anteriormente","3647.20"
"Brasil","2.08 Extração de minerais não metálicos","3517.41"
"Brasil","2.08.08001 Extração de pedras, areia e argila","2101.05"
"Brasil","2.08.08002 Extração de gemas (pedras preciosas)","3511.64"
"Brasil","2.08.08009 Extração de minerais não metálicos não especificados anteriormente","4255.61"
"Brasil","2.08.08999 Extração de minerais não especificados","3340.76"
"Brasil","2.09 Atividades de apoio à extração de minerais","7438.19"
"Brasil","2.09.09000 Atividades de apoio à extração de minerais","7438.19"
"Brasil","3 Indústrias de transformação","2535.11"
"Brasil","3.10 Fabricação de produtos alimenticios e bebidas","2244.95"
"Brasil","3.10.10010 Abate e fabricação de produtos de carne e pescado","1991.87"
"Brasil","3.10.10021 Fabricação de conservas de frutas, legumes e outros vegetais","1774.22"
"Brasil","3.10.10022 Fabricação de óleos vegetais e gorduras vegetais e animais","2577.20"
"Brasil","3.10.10030 Laticínios","2333.64"
"Brasil","3.10.10091 Moagem, fabricação de produtos amiláceos e de alimentos para animais","2128.61"
"Brasil","3.10.10092 Fabricação e refino do açúcar","2187.14"
"Brasil","3.10.10093 Torrefação e moagem de café","2669.73"
"Brasil","3.10.10099 Fabricação de outros produtos alimentícios","2162.74"
"Brasil","3.10.10999 Fabricação de produtos alimentícios não especificados","2911.10"
"Brasil","3.11 Fabricação de bebidas","3032.26"
"Brasil","3.11.11000 Fabricação de bebidas","3032.26"
"Brasil","3.12 Fabricação de produtos do fumo","2342.22"
"Brasil","3.12.12000 Processamento industrial e fabricação de produtos do fumo","2342.22"
"Brasil","3.13 Fabricação de produtos têxteis","2008.86"
"Brasil","3.13.13001 Preparação de fibras, fiação e tecelagem","1809.07"
"Brasil","3.13.13002 Fabricação de artefatos têxteis, exceto vestuário","1483.68"
"Brasil","3.13.13999 Indústria têxtil - atividades não especificadas","2726.13"
"Brasil","3.14 Confecção de artigos do vestuário e acessórios","1611.59"
"Brasil","3.14.14001 Confecção de artigos do vestuário e acessórios, exceto sob medida","1628.19"
"Brasil","3.14.14002 Confecção, sob medida, de artigos do vestuário","1469.32"
"Brasil","3.14.14999 Confecção de artigos do vestuário e acessórios, sob medida ou não","1617.03"
"Brasil","3.15 Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","1839.21"
"Brasil","3.15.15011 Curtimento e outras preparações de couro","2239.81"
"Brasil","3.15.15012 Fabricação de artigos de viagem e de artefatos diversos de couro","2130.33"
"Brasil","3.15.15020 Fabricação de calçados e partes para calçados, de qualquer material","1784.14"
"Brasil","3.16 Fabricação de produtos de madeira","1956.23"
"Brasil","3.16.16001 Serrarias","1929.39"
"Brasil","3.16.16002 Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis","1977.63"
"Brasil","3.17 Fabricação de celulose, papel e produtos de papel","3420.40"
"Brasil","3.17.17001 Fabricação de celulose, papel, cartolina e papel-cartão","3946.75"
"Brasil","3.17.17002 Fabricação de embalagens e de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado","2478.26"
"Brasil","3.17.17999 Fabricação de papel e artefatos - atividades não especificadas","2313.58"
"Brasil","3.18 Impressão e reprodução de gravações","2650.79"
"Brasil","3.18.18000 Impressão e reprodução de gravações","2650.79"
"Brasil","3.19 Fabricação de coque; produtos derivados de petróleo e de biocombustíveis","4250.57"
"Brasil","3.19.19010 Coquerias","9113.13"
"Brasil","3.19.19020 Fabricação de produtos derivados do petróleo","6407.27"
