"Fonte","Atividade","Valor"
"","Tabela 10287 (IBGE/SIDRA) — PNAD Contínua 2022",""
"Brasil","Total","87830899"
"Brasil","1 Agricultura, pecuária, produção florestal, pesca e aquicultura","6434962"
"Brasil","1.01 Agricultura, pecuária, caça e serviços relacionados","5866546"
"Brasil","1.01.01101 Cultivo de arroz","18953"
"Brasil","1.01.01102 Cultivo de milho","100882"
"Brasil","1.01.01103 Cultivo de outros cereais","12020"
"Brasil","1.01.01104 Cultivo de algodão","5104"
"Brasil","1.01.01105 Cultivo de cana-de-açúcar","98812"
"Brasil","1.01.01106 Cultivo de fumo","76261"
"Brasil","1.01.01107 Cultivo de soja","59993"
"Brasil","1.01.01108 Cultivo de mandioca","74946"
"Brasil","1.01.01109 Cultivo de outras lavouras temporárias não especificadas anteriormente","99872"
"Brasil","1.01.01110 Horticultura","171674"
"Brasil","1.01.01111 Cultivo de flores e plantas ornamentais","30462"
"Brasil","1.01.01112 Cultivo de frutas cítricas","54025"
"Brasil","1.01.01113 Cultivo de café","287422"
"Brasil","1.01.01114 Cultivo de cacau","36369"
"Brasil","1.01.01115 Cultivo de uva","28842"
"Brasil","1.01.01116 Cultivo de banana","40700"
"Brasil","1.01.01117 Cultivo de outras plantas e frutas de lavoura permanente não especiificadas anteriormente","88647"
"Brasil","1.01.01118 Produção de sementes e mudas certificadas","25691"
"Brasil","1.01.01119 Lavoura não especificada","2652692"
"Brasil","1.01.01201 Criação de bovinos","340292"
"Brasil","1.01.01202 Criação de outros animais de grande porte não especificados anteriormente","14141"
"Brasil","1.01.01203 Criação de caprinos e ovinos","5513"
"Brasil","1.01.01204 Criação de suinos","38828"
"Brasil","1.01.01205 Criação de aves","128135"
"Brasil","1.01.01206 Apicultura","11344"
"Brasil","1.01.01207 Sericicultura","1473"
"Brasil","1.01.01208 Criação de outros animais não especificados anteriormente","3107"
"Brasil","1.01.01209 Pecuária não especificada","212832"
"Brasil","1.01.01401 Atividades de apoio à agricultura e pós-colheita","500826"
"Brasil","1.01.01402 Atividades de apoio à pecuária","92185"
"Brasil","1.01.01500 Caça e serviços relacionados","313"
"Brasil","1.01.01999 Agropecuária","554191"
"Brasil","1.02 Produção florestal","235863"
"Brasil","1.02.02000 Produção florestal","235863"
"Brasil","1.03 Pesca e aquicultura","332553"
"Brasil","1.03.03001 Pesca","313914"
"Brasil","1.03.03002 Aquicultura","18639"
"Brasil","2 Indústrias extrativas","333574"
"Brasil","2.05 Extração de carvão mineral","2578"
"Brasil","2.05.05000 Extração de carvão mineral","2578"
"Brasil","2.06 Extração de petróleo e gás natural","76872"
"Brasil","2.06.06000 Extração de petróleo e gás natural","76872"
"Brasil","2.07 Extração de minerais metálicos","33015"
"Brasil","2.07.07001 Extração de minérios de metais preciosos","21142"
"Brasil","2.07.07002 Extração de minerais metálicos não especificados anteriormente","11873"
"Brasil","2.08 Extração de minerais não metálicos","215936"
"Brasil","2.08.08001 Extração de pedras, areia e argila","58085"
"Brasil","2.08.08002 Extração de gemas (pedras preciosas)","1037"
"Brasil","2.08.08009 Extração de minerais não metálicos não especificados anteriormente","120213"
"Brasil","2.08.08999 Extração de minerais não especificados","36601"
"Brasil","2.09 Atividades de apoio à extração de minerais","5173"
"Brasil","2.09.09000 Atividades de apoio à extração de minerais","5173"
"Brasil","3 Indústrias de transformação","8980792"
"Brasil","3.10 Fabricação de produtos alimenticios e bebidas","1069673"
"Brasil","3.10.10010 Abate e fabricação de produtos de carne e pescado","340120"
"Brasil","3.10.10021 Fabricação de conservas de frutas, legumes e outros vegetais","30942"
"Brasil","3.10.10022 Fabricação de óleos vegetais e gorduras vegetais e animais","10681"
"Brasil","3.10.10030 Laticínios","97101"
"Brasil","3.10.10091 Moagem, fabricação de produtos amiláceos e de alimentos para animais","97522"
"Brasil","3.10.10092 Fabricação e refino do açúcar","69440"
"Brasil","3.10.10093 Torrefação e moagem de café","8223"
"Brasil","3.10.10099 Fabricação de outros produtos alimentícios","235896"
"Brasil","3.10.10999 Fabricação de produtos alimentícios não especificados","179748"
"Brasil","3.11 Fabricação de bebidas","82082"
"Brasil","3.11.11000 Fabricação de bebidas","82082"
"Brasil","3.12 Fabricação de produtos do fumo","18232"
"Brasil","3.12.12000 Processamento industrial e fabricação de produtos do fumo","18232"
"Brasil","3.13 Fabricação de produtos têxteis","437610"
"Brasil","3.13.13001 Preparação de fibras, fiação e tecelagem","194929"
"Brasil","3.13.13002 Fabricação de artefatos têxteis, exceto vestuário","108756"
"Brasil","3.13.13999 Indústria têxtil - atividades não especificadas","133925"
"Brasil","3.14 Confecção de artigos do vestuário e acessórios","1286582"
"Brasil","3.14.14001 Confecção de artigos do vestuário e acessórios, exceto sob medida","522385"
"Brasil","3.14.14002 Confecção, sob medida, de artigos do vestuário","86814"
"Brasil","3.14.14999 Confecção de artigos do vestuário e acessórios, sob medida ou não","677383"
"Brasil","3.15 Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados","323687"
"Brasil","3.15.15011 Curtimento e outras preparações de couro","15313"
"Brasil","3.15.15012 Fabricação de artigos de viagem e de artefatos diversos de couro","31339"
"Brasil","3.15.15020 Fabricação de calçados e partes para calçados, de qualquer material","277035"
"Brasil","3.16 Fabricação de produtos de madeira","160299"
"Brasil","3.16.16001 Serrarias","71116"
"Brasil","3.16.16002 Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis","89184"
"Brasil","3.17 Fabricação de celulose, papel e produtos de papel","95519"
"Brasil","3.17.17001 Fabricação de celulose, papel, cartolina e papel-cartão","61308"
"Brasil","3.17.17002 Fabricação de embalagens e de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado","33978"
"Brasil","3.17.17999 Fabricação de papel e artefatos - atividades não especificadas","232"
"Brasil","3.18 Impressão e reprodução de gravações","176989"
"Brasil","3.18.18000 Impressão e reprodução de gravações","176989"
"Brasil","3.19 Fabricação de coque; produtos derivados de petróleo e de biocombustíveis","46408"
"Brasil","3.19.19010 Coquerias","145"
"Brasil","3.19.19020 Fabricação de produtos derivados do petróleo","16480"
"Brasil","3.19.19030 Produção de biocombustíveis","29783"
"Brasil","3.20 Fabricação de produtos químicos","182647"
"Brasil","3.20.20010 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins","16325"
"Brasil","3.20.20020 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal","48635"
"Brasil","3.20.20090 Fabricação de outros produtos químicos não especificados anteriormente","113459"
"Brasil","3.20.20999 Indústria química - atividades não especificadas","4227"
"Brasil","3.21 Fabricação de produtos farmoquímicos e farmacêuticos","144830"
"Brasil","3.21.21000 Fabricação de produtos farmoquímicos e farmacêuticos","144830"
"Brasil","3.22 Fabricação de produtos de borracha e de material plástico","182141"
"Brasil","3.22.22010 Fabricação de produtos de borracha","51547"
"Brasil","3.22.22020 Fabricação de produtos de material plástico","130594"
"Brasil","3.23 Fabricação de produtos de minerais não metálicos","338414"
"Brasil","3.23.23010 Fabricação de vidro e produtos de vidro","32521"
"Brasil","3.23.23091 Fabricação de produtos cerâmicos","141217"
"Brasil","3.23.23099 Fabricação de outros produtos de minerais não metálicos não especificados anteriormente","164677"
"Brasil","3.24 Metalurgia","201439"
"Brasil","3.24.24001 Fabricação de produtos siderúrgicos","70748"
"Brasil","3.24.24002 Metalurgia dos metais não ferrosos","26953"
"Brasil","3.24.24003 Fundição","28770"
"Brasil","3.24.24999 Fabricação de produtos de metalurgia não especificados","74968"
"Brasil","3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos","1020804"
"Brasil","3.25.25001 Fabricação de produtos de metal, exceto máquinas e equipamentos","822858"
"Brasil","3.25.25002 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais","197946"
